time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.042	1100.000	7014.95	nan	nan	4.5	1100	1100	nan	1015.99	809.137	7014.95	4421.55	0	0	0.0174897	0.98251	0.216735	0.483882	0.289781	0.00960219	1	0	0
0.043	1100.000	7578.92	nan	nan	4.5	1100	1100	nan	1016	809.153	7578.92	4421.07	0	0	0.0257202	0.97428	0.213306	0.496571	0.281893	0.00823045	1	0	0
0.044	1100.000	7528.02	nan	nan	4.5	1100	1100	nan	1016	809.149	7528.02	4421.19	0	0	0.0123457	0.987654	0.214678	0.488683	0.290123	0.00651578	1	0	0
0.045	1100.000	9665.04	nan	nan	4.5	1100	1100	nan	1016.06	809.178	9665.04	4420.18	0	0	0.0133745	0.986626	0.207819	0.496571	0.284294	0.0113169	1	0	0
0.046	1100.000	8850.23	nan	nan	4.5	1100	1100	nan	1016.03	809.171	8850.23	4420.46	0	0	0.0144033	0.985597	0.201646	0.503772	0.282236	0.0123457	1	0	0
0.047	1100.000	8578.12	nan	nan	4.5	1100	1100	nan	1016.02	809.173	8578.12	4420.45	0	0	0.0102881	0.989712	0.203018	0.506516	0.279835	0.010631	1	0	0
0.048	1100.000	7937.62	nan	nan	4.5	1100	1100	nan	1016	809.164	7937.62	4420.75	0	0	0.0257202	0.97428	0.210562	0.509259	0.272977	0.00720165	1	0	0
0.049	1100.000	7385.44	nan	nan	4.5	1100	1100	nan	1015.97	809.166	7385.44	4420.77	0	0	0.0113169	0.988683	0.205761	0.51406	0.270576	0.00960219	1	0	0
0.05	1100.000	7102.71	nan	nan	4.5	1100	1100	nan	1015.96	809.166	7102.71	4420.81	0	0	0.0174897	0.98251	0.209877	0.502401	0.280521	0.00720165	1	0	0
0.051	1100.000	7358.51	nan	nan	4.5	1100	1100	nan	1015.99	809.154	7358.51	4421.1	0	0	0.00925926	0.990741	0.221536	0.47668	0.293553	0.00823045	1	0	0
0.052	1100.000	8138.27	nan	nan	4.5	1100	1100	nan	1016.01	809.165	8138.27	4420.7	0	0	0.0174897	0.98251	0.227709	0.478738	0.282579	0.0109739	1	0	0
0.053	1100.000	8368.85	nan	nan	4.5	1100	1100	nan	1016.03	809.158	8368.85	4420.86	0	0	0.0144033	0.985597	0.227023	0.491084	0.272977	0.00891632	1	0	0
0.054	1100.000	7815.45	nan	nan	4.5	1100	1100	nan	1016	809.157	7815.45	4420.96	0	0	0.0174897	0.98251	0.23251	0.482167	0.27572	0.00960219	1	0	0
0.055	1100.000	7088.2	nan	nan	4.5	1100	1100	nan	1015.98	809.15	7088.2	4421.22	0	0	0.0174897	0.98251	0.233196	0.48594	0.274691	0.00617284	1	0	0
0.056	1100.000	7244.67	nan	nan	4.5	1100	1100	nan	1015.97	809.161	7244.67	4420.91	0	0	0.0154321	0.984568	0.240741	0.480796	0.270919	0.00754458	1	0	0
0.057	1100.000	7044.01	nan	nan	4.5	1100	1100	nan	1015.98	809.147	7044.01	4421.3	0	0	0.00720165	0.992798	0.238683	0.473937	0.278121	0.00925926	1	0	0
0.058	1100.000	7313.94	nan	nan	4.5	1100	1100	nan	1015.98	809.156	7313.94	4421.05	0	0	0.0154321	0.984568	0.230453	0.473594	0.284979	0.0109739	1	0	0
0.059	1100.000	6613.9	nan	nan	4.5	1100	1100	nan	1015.96	809.146	6613.9	4421.4	0	0	0.0216049	0.978395	0.225652	0.485597	0.280178	0.00857339	1	0	0
0.06	1100.000	8099.63	nan	nan	4.5	1100	1100	nan	1015.98	809.186	8099.63	4420.17	0	0	0.0226337	0.977366	0.233882	0.467078	0.288752	0.0102881	1	0	0
0.061	1100.000	7335.68	nan	nan	4.5	1100	1100	nan	1015.96	809.174	7335.68	4420.59	0	0	0.0154321	0.984568	0.226337	0.477709	0.28738	0.00857339	1	0	0
0.062	1100.000	7169.04	nan	nan	4.5	1100	1100	nan	1015.97	809.161	7169.04	4420.94	0	0	0.0185185	0.981481	0.237311	0.469822	0.285665	0.00720165	1	0	0
0.063	1100.000	6149.23	nan	nan	4.5	1100	1100	nan	1015.94	809.149	6149.23	4421.36	0	0	0.0154321	0.984568	0.236626	0.473937	0.284294	0.00514403	1	0	0
0.064	1100.000	6621.51	nan	nan	4.5	1100	1100	nan	1015.96	809.145	6621.51	4421.41	0	0	0.0205761	0.979424	0.238683	0.475309	0.279835	0.00617284	1	0	0
0.065	1100.000	6267.65	nan	nan	4.5	1100	1100	nan	1015.94	809.152	6267.65	4421.29	0	0	0.0144033	0.985597	0.222222	0.496228	0.277092	0.00445816	1	0	0
0.066	1100.000	7117.22	nan	nan	4.5	1100	1100	nan	1015.98	809.153	7117.22	4421.16	0	0	0.0185185	0.981481	0.218793	0.497599	0.276063	0.00754458	1	0	0
0.067	1100.000	8142.03	nan	nan	4.5	1100	1100	nan	1016	809.171	8142.03	4420.55	0	0	0.0164609	0.983539	0.214678	0.496228	0.278807	0.0102881	1	0	0
0.068	1100.000	6441.72	nan	nan	4.5	1100	1100	nan	1015.95	809.145	6441.72	4421.43	0	0	0.00823045	0.99177	0.205075	0.503772	0.282579	0.00857339	1	0	0
0.069	1100.000	7096.68	nan	nan	4.5	1100	1100	nan	1015.98	809.151	7096.68	4421.19	0	0	0.0154321	0.984568	0.207819	0.498285	0.285322	0.00857339	1	0	0
0.07	1100.000	6945.66	nan	nan	4.5	1100	1100	nan	1015.98	809.146	6945.66	4421.34	0	0	0.0133745	0.986626	0.214678	0.499657	0.277435	0.00823045	1	0	0
0.071	1100.000	7110.1	nan	nan	4.5	1100	1100	nan	1015.98	809.151	7110.1	4421.19	0	0	0.00925926	0.990741	0.217421	0.491427	0.281893	0.00925926	1	0	0
0.072	1100.000	5673.59	nan	nan	4.5	1100	1100	nan	1015.92	809.14	5673.59	4421.66	0	0	0.0164609	0.983539	0.227709	0.482167	0.284979	0.00514403	1	0	0
0.073	1100.000	6481.55	nan	nan	4.5	1100	1100	nan	1015.95	809.149	6481.55	4421.32	0	0	0.0216049	0.978395	0.219479	0.483539	0.288752	0.00823045	1	0	0
0.074	1100.000	5700.56	nan	nan	4.5	1100	1100	nan	1015.93	809.135	5700.56	4421.79	0	0	0.0164609	0.983539	0.226337	0.484225	0.283951	0.00548697	1	0	0
0.075	1100.000	5473.03	nan	nan	4.5	1100	1100	nan	1015.94	809.122	5473.03	4422.14	0	0	0.0164609	0.983539	0.218793	0.48594	0.28738	0.00788752	1	0	0
0.076	1100.000	6188.23	nan	nan	4.5	1100	1100	nan	1015.95	809.139	6188.23	4421.63	0	0	0.00514403	0.994856	0.219479	0.49177	0.281893	0.00685871	1	0	0
0.077	1100.000	7383.17	nan	nan	4.5	1100	1100	nan	1015.99	809.15	7383.17	4421.19	0	0	0.0185185	0.981481	0.209191	0.500686	0.279492	0.010631	1	0	0
0.078	1100.000	6808.24	nan	nan	4.5	1100	1100	nan	1015.97	809.15	6808.24	4421.27	0	0	0.0185185	0.981481	0.225652	0.48834	0.278807	0.00720165	1	0	0
0.079	1100.000	7505.19	nan	nan	4.5	1100	1100	nan	1015.98	809.165	7505.19	4420.8	0	0	0.0123457	0.987654	0.213992	0.486283	0.291838	0.00788752	1	0	0
0.08	1100.000	7334.17	nan	nan	4.5	1100	1100	nan	1015.97	809.164	7334.17	4420.84	0	0	0.0102881	0.989712	0.20439	0.5	0.288066	0.00754458	1	0	0
0.081	1100.000	8151.58	nan	nan	4.5	1100	1100	nan	1016	809.168	8151.58	4420.62	0	0	0.0144033	0.985597	0.211934	0.493827	0.283265	0.0109739	1	0	0
0.082	1100.000	7494.63	nan	nan	4.5	1100	1100	nan	1016	809.15	7494.63	4421.17	0	0	0.0113169	0.988683	0.207133	0.49177	0.292867	0.00823045	1	0	0
0.083	1100.000	7156.98	nan	nan	4.5	1100	1100	nan	1015.99	809.139	7156.98	4421.48	0	0	0.0205761	0.979424	0.213306	0.485597	0.291838	0.00925926	1	0	0
0.084	1100.000	6646.93	nan	nan	4.5	1100	1100	nan	1015.97	809.144	6646.93	4421.44	0	0	0.0123457	0.987654	0.210562	0.497599	0.283265	0.00857339	1	0	0
0.085	1100.000	7007.15	nan	nan	4.5	1100	1100	nan	1015.99	809.137	7007.15	4421.56	0	0	0.0133745	0.986626	0.211934	0.5	0.277092	0.0109739	1	0	0
0.086	1100.000	7469.56	nan	nan	4.5	1100	1100	nan	1015.99	809.153	7469.56	4421.11	0	0	0.0164609	0.983539	0.218107	0.485597	0.286351	0.00994513	1	0	0
0.087	1100.000	8391.16	nan	nan	4.5	1100	1100	nan	1016.01	809.174	8391.16	4420.43	0	0	0.0195473	0.980453	0.207133	0.491427	0.292181	0.00925926	1	0	0
0.088	1100.000	8702.78	nan	nan	4.5	1100	1100	nan	1016.03	809.171	8702.78	4420.47	0	0	0.0205761	0.979424	0.203018	0.503772	0.283608	0.00960219	1	0	0
0.089	1100.000	7883	nan	nan	4.5	1100	1100	nan	1015.99	809.169	7883	4420.63	0	0	0.0154321	0.984568	0.202332	0.5	0.287723	0.00994513	1	0	0
0.09	1100.000	6699.64	nan	nan	4.5	1100	1100	nan	1015.97	809.141	6699.64	4421.51	0	0	0.0154321	0.984568	0.206447	0.511317	0.274348	0.00788752	1	0	0
0.091	1100.000	7542.05	nan	nan	4.5	1100	1100	nan	1015.99	809.156	7542.05	4421	0	0	0.0113169	0.988683	0.209191	0.50583	0.277435	0.00754458	1	0	0
0.092	1100.000	6104.6	nan	nan	4.5	1100	1100	nan	1015.94	809.143	6104.6	4421.52	0	0	0.0174897	0.98251	0.213992	0.48594	0.292524	0.00754458	1	0	0
0.093	1100.000	7259.03	nan	nan	4.5	1100	1100	nan	1015.97	809.163	7259.03	4420.87	0	0	0.0195473	0.980453	0.215364	0.486626	0.286694	0.0113169	1	0	0
0.094	1100.000	8095.52	nan	nan	4.5	1100	1100	nan	1016.01	809.165	8095.52	4420.72	0	0	0.0185185	0.981481	0.217421	0.488683	0.283951	0.00994513	1	0	0
0.095	1100.000	7507.12	nan	nan	4.5	1100	1100	nan	1015.98	809.167	7507.12	4420.74	0	0	0.0164609	0.983539	0.217421	0.487311	0.286008	0.00925926	1	0	0
0.096	1100.000	8178.69	nan	nan	4.5	1100	1100	nan	1016	809.176	8178.69	4420.41	0	0	0.0164609	0.983539	0.207819	0.50583	0.276063	0.0102881	1	0	0
0.097	1100.000	7484.36	nan	nan	4.5	1100	1100	nan	1015.98	809.167	7484.36	4420.74	0	0	0.0236626	0.976337	0.205075	0.504458	0.283265	0.00720165	1	0	0
0.098	1100.000	8316.47	nan	nan	4.5	1100	1100	nan	1015.99	809.186	8316.47	4420.14	0	0	0.0113169	0.988683	0.207133	0.502058	0.279835	0.0109739	1	0	0
0.099	1100.000	7592.47	nan	nan	4.5	1100	1100	nan	1015.98	809.169	7592.47	4420.67	0	0	0.0226337	0.977366	0.207819	0.501372	0.28155	0.00925926	1	0	0
0.1	1100.000	8026.9	nan	nan	4.5	1100	1100	nan	1015.99	809.178	8026.9	4420.4	0	0	0.0144033	0.985597	0.213306	0.489026	0.288066	0.00960219	1	0	0
0.101	1100.000	7601.12	nan	nan	4.5	1100	1100	nan	1015.98	809.168	7601.12	4420.71	0	0	0.0164609	0.983539	0.20439	0.497942	0.288066	0.00960219	1	0	0
0.102	1100.000	7676.83	nan	nan	4.5	1100	1100	nan	1015.98	809.17	7676.83	4420.64	0	0	0.0154321	0.984568	0.206447	0.495199	0.290123	0.00823045	1	0	0
0.103	1100.000	7265.84	nan	nan	4.5	1100	1100	nan	1015.97	809.164	7265.84	4420.85	0	0	0.0236626	0.976337	0.202332	0.492455	0.297325	0.00788752	1	0	0
0.104	1100.000	7818.31	nan	nan	4.5	1100	1100	nan	1015.99	809.164	7818.31	4420.77	0	0	0.0185185	0.981481	0.192044	0.507545	0.289438	0.0109739	1	0	0
0.105	1100.000	7852.49	nan	nan	4.5	1100	1100	nan	1015.99	809.166	7852.49	4420.7	0	0	0.0205761	0.979424	0.189986	0.513717	0.283608	0.0126886	1	0	0
0.106	1100.000	7859.47	nan	nan	4.5	1100	1100	nan	1015.99	809.173	7859.47	4420.53	0	0	0.00925926	0.990741	0.205075	0.50583	0.280521	0.00857339	1	0	0
0.107	1100.000	7794.87	nan	nan	4.5	1100	1100	nan	1015.99	809.164	7794.87	4420.78	0	0	0.00925926	0.990741	0.197531	0.517147	0.277778	0.00754458	1	0	0
0.108	1100.000	8807.6	nan	nan	4.5	1100	1100	nan	1016.02	809.182	8807.6	4420.2	0	0	0.0133745	0.986626	0.198217	0.509945	0.281893	0.00994513	1	0	0
0.109	1100.000	8341.26	nan	nan	4.5	1100	1100	nan	1016.03	809.156	8341.26	4420.92	0	0	0.0133745	0.986626	0.19273	0.509259	0.289095	0.00891632	1	0	0
0.11	1100.000	7451.93	nan	nan	4.5	1100	1100	nan	1015.99	809.156	7451.93	4421.03	0	0	0.0113169	0.988683	0.199588	0.496228	0.298354	0.0058299	1	0	0
0.111	1100.000	8472.29	nan	nan	4.5	1100	1100	nan	1016.02	809.165	8472.29	4420.66	0	0	0.0174897	0.98251	0.209877	0.478052	0.302812	0.00925926	1	0	0
0.112	1100.000	7838.43	nan	nan	4.5	1100	1100	nan	1015.99	809.166	7838.43	4420.73	0	0	0.00720165	0.992798	0.208505	0.490398	0.29321	0.00788752	1	0	0
0.113	1100.000	6921.29	nan	nan	4.5	1100	1100	nan	1015.98	809.145	6921.29	4421.36	0	0	0.0123457	0.987654	0.213306	0.491427	0.288409	0.00685871	1	0	0
